name,scientific_name,ott_id,ott_name,uniqname,image_url,comments,
cat,Felis catus,563166,Felis catus,Felis catus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/404/32374404.jpg,,
dog,Canis lupus,247341,Canis lupus,Canis lupus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/938/27815938.jpg,,
rabbit,Oryctolagus cuniculus,864596,Oryctolagus cuniculus,Oryctolagus cuniculus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/3/181/7530181.jpg,,
horse,Equus caballus,1068218,Equus caballus,Equus caballus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/000/31662000.jpg,,
cow,Bos taurus,490099,Bos taurus,Bos taurus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/693/32368693.jpg,,
chicken,Gallus gallus,153563,Gallus gallus,Gallus gallus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/919/24875919.jpg,,
duck,Anas platyrhynchos,765167,Anas platyrhynchos,Anas platyrhynchos,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/025/31925025.jpg,,
frog,Anura,991547,Anura,Anura,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/846/27735846.jpg,,
swallowtail butterfly,Papilionidae,661439,Papilionidae,Papilionidae,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/175/26875175.jpg,Swallowtail butterflies (Papilionidae) are one family of true butterflies within the order Lepidoptera.,
sunflower,Helianthus annuus,515712,Helianthus annuus,Helianthus annuus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/270/25593270.jpg,,
rose,Rosa,259066,Rosa,Rosa,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/851/26800851.jpg,,
dolphin,Delphinidae,698406,Delphinidae,Delphinidae,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/415/31956415.jpg,,
elephant,Elephantidae,541924,Elephantidae,Elephantidae,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/726/32633726.jpg,,
lion,Panthera leo,563151,Panthera leo,Panthera leo,https://www.onezoom.org/OZtree/static/FinalOutputs/img/20/140/140.jpg,,
bear,Ursus arctos,872567,Ursus arctos,Ursus arctos,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/880/26787880.jpg,,
pig,Sus scrofa,730013,Sus scrofa,Sus scrofa,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/006/31653006.jpg,,
sheep,Ovis aries,70819,Ovis aries,Ovis aries,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/916/32632916.jpg,,
goat,Capra hircus,19017,Capra hircus,Capra hircus (species in domain Eukaryota),https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/251/31924251.jpg,,
mouse,Mus musculus,542509,Mus musculus,Mus musculus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/20/310/83310.jpg,,
rat,Rattus norvegicus,271555,Rattus norvegicus,Rattus norvegicus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/920/27718920.jpg,,
hamster,Mesocricetus auratus,391631,Mesocricetus auratus,Mesocricetus auratus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/672/25631672.jpg,,
guinea pig,Cavia porcellus,744000,Cavia porcellus,Cavia porcellus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/350/31811350.jpg,,
giraffe,Giraffa camelopardalis,768674,Giraffa camelopardalis,Giraffa camelopardalis,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/387/26880387.jpg,,
zebra,Equus quagga,124776,Equus burchellii quagga,Equus burchellii quagga,http://commons.wikimedia.org/wiki/Special:FilePath/Cebra%20de%20Burchell%20%28Equus%20quagga%20burchellii%29%2C%20parque%20nacional%20Kruger%2C%20Sud%C3%A1frica%2C%202018-07-24%2C%20DD%2001.jpg,,
hippopotamus,Hippopotamus amphibius,510762,Hippopotamus amphibius,Hippopotamus amphibius,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/309/27779309.jpg,,
rhinoceros,Rhinocerotidae,1034218,Rhinocerotidae,Rhinocerotidae,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/666/25657666.jpg,,
gorilla,Gorilla gorilla,417965,Gorilla gorilla,Gorilla gorilla,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/478/31326478.jpg,,
chimpanzee,Pan troglodytes,417950,Pan troglodytes,Pan troglodytes,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/520/27252520.jpg,,
